name,type,address,zipcode,locality,lon,lat
Harry Belafonte 115th Street Library,circulating,203 West 115th Street,10026,New York,-73.9532,40.8028
125th Street Library,circulating,224 East 125th Street,10035,New York,-73.9354,40.8034
58th Street Library,circulating,127 East 58th Street,10022,New York,-73.9691,40.7619
67th Street Library,circulating,328 East 67th Street,10065,New York,-73.9601,40.7652
96th Street Library,circulating,112 East 96th Street,10128,New York,-73.9522,40.7863
Aguilar Library,circulating,174 East 110th Street,10029,New York,-73.9436,40.7943
Allerton Library,circulating,2740 Barnes Avenue,10467,Bronx,-73.8632,40.866
Andrew Heiskell Braille and Talking Book Library,circulating,40 West 20th Street,10011,New York,-73.993,40.7404
Baychester Library,circulating,2049 Asch Loop North,10475,Bronx,-73.8305,40.8711
Belmont Library and Enrico Fermi Cultural Center,circulating,610 E. 186th Street,10458,Bronx,-73.8877,40.8544
Bloomingdale Library,circulating,150 West 100th Street,10025,New York,-73.9671,40.796
Bronx Library Center,circulating,310 East Kingsbridge Road,10458,Bronx,-73.8944,40.8634
Castle Hill Library,circulating,947 Castle Hill Avenue,10473,Bronx,-73.8499,40.8264
Terence Cardinal Cooke-Cathedral Library,circulating,560 Lexington Avenue,10022,New York,-73.9725,40.7568
Chatham Square Library,circulating,33 East Broadway,10002,New York,-73.9965,40.7134
City Island Library,circulating,320 City Island Avenue,10464,Bronx,-73.7865,40.8477
Clason's Point Library,circulating,1215 Morrison Avenue,10472,Bronx,-73.8748,40.8299
Columbus Library,circulating,742 10th Avenue,10019,New York,-73.9914,40.765
Countee Cullen Library,circulating,104 West 136th Street,10030,New York,-73.9408,40.8148
Dongan Hills Library,circulating,1617 Richmond Road,10304,Staten Island,-74.101,40.5906
Eastchester Library,circulating,1385 East Gun Hill Road,10469,Bronx,-73.8454,40.8702
Edenwald Library,circulating,1255 East 233rd Street,10466,Bronx,-73.8409,40.8888
Epiphany Library,circulating,228 East 23rd Street,10010,New York,-73.9827,40.7385
Fort Washington Library,circulating,535 West 179th Street,10033,New York,-73.9337,40.8478
Francis Martin Library,circulating,2150 University Avenue,10453,Bronx,-73.9095,40.8574
George Bruce Library,circulating,518 West 125th Street,10027,New York,-73.957,40.8139
Grand Concourse Library,circulating,155 East 173rd Street,10457,Bronx,-73.9101,40.8439
Great Kills Library,circulating,56 Giffords Lane,10308,Staten Island,-74.151,40.5524
Hamilton Fish Park Library,circulating,415 East Houston Street,10002,New York,-73.9791,40.7199
Hamilton Grange Library,circulating,503 West 145th Street,10031,New York,-73.9477,40.8255
Harlem Library,circulating,9 West 124th Street,10027,New York,-73.9431,40.8061
High Bridge Library,circulating,78 West 168th Street,10452,Bronx,-73.9235,40.838
Hudson Park Library,circulating,66 Leroy Street,10014,New York,-74.0053,40.73
Huguenot Park Library,circulating,830 Huguenot Avenue,10312,Staten Island,-74.1933,40.5345
Stephen A. Schwarzman Building,research,476 Fifth Avenue (42nd St and Fifth Ave),10018,New York,-73.9822,40.7532
Hunts Point Library,circulating,877 Southern Boulevard,10459,Bronx,-73.8939,40.8187
Inwood Library,circulating,4790 Broadway,10034,New York,-73.9257,40.866
Jefferson Market Library,circulating,425 Avenue of the Americas,10011,New York,-73.999,40.7347
Jerome Park Library,circulating,118 Eames Place,10468,Bronx,-73.9012,40.8691
Kingsbridge Library,circulating,291 West 231st Street,10463,Bronx,-73.908,40.8805
Kips Bay Library,circulating,446 Third Avenue,10016,New York,-73.9797,40.7438
Macomb's Bridge Library,circulating,"2650 Adam Clayton Powell, Jr. Blvd.",10039,New York,-73.9363,40.826
Melrose Library,circulating,910 Morris Avenue,10451,Bronx,-73.9177,40.8267
Mid-Manhattan Library at 42nd Street,circulating,476 Fifth Avenue (42nd Street Entrance),10018,New York,-73.9822,40.7532
Morningside Heights,circulating,2900 Broadway,10025,New York,-73.965,40.8062
Morrisania Library,circulating,610 East 169th Street,10456,Bronx,-73.9013,40.8316
Mosholu Library,circulating,285 East 205th Street,10467,Bronx,-73.8784,40.8744
Mott Haven Library,circulating,321 East 140th Street,10454,Bronx,-73.9243,40.8116
Muhlenberg Library,circulating,209 West 23rd Street,10011,New York,-73.9961,40.7444
New Amsterdam Library,circulating,9 Murray Street,10007,New York,-74.0078,40.7134
New Dorp Library,circulating,309 New Dorp Lane,10306,Staten Island,-74.1123,40.572
"New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",research,40 Lincoln Center Plaza (65th St and Columbus Ave),10023,New York,-73.9848,40.7735
Ottendorfer Library,circulating,135 Second Avenue,10003,New York,-73.9877,40.7288
Parkchester Library,circulating,1985 Westchester Avenue,10462,Bronx,-73.8593,40.8336
Pelham Bay Library,circulating,3060 Middletown Road,10461,Bronx,-73.828,40.8444
Port Richmond Library,circulating,75 Bennett Street,10302,Staten Island,-74.1322,40.638
Richmondtown Library,circulating,200 Clarke Avenue,10306,Staten Island,-74.1381,40.5668
Riverdale Library,circulating,5540 Mosholu Avenue,10471,Bronx,-73.9037,40.9029
Riverside Library,circulating,127 Amsterdam Avenue,10023,New York,-73.9844,40.7743
Roosevelt Island Library,circulating,524 Main Street,10044,New York,-73.9506,40.7609
Schomburg Center for Research in Black Culture,research,515 Malcolm X Boulevard (135th St and Malcolm X Blvd),10037,New York,-73.941,40.8144
