name,phone,Address,City,Postcode,Mn,Tu,We,Th,Fr,Sa,Su,notification,Location 1,Borough,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
Arverne,(718) 634-4784,312 Beach 54 Street,Arverne,11692,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.593066, -73.784341)",QUEENS   ,40.593066,-73.784341,14,31,97204,4158900018,4158900018,Hammels-Arverne-Edgemere                                                   
Astoria,(718) 278-2220,14-01 Astoria Boulevard,Long Island City,11102,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.772173, -73.928757)",QUEENS   ,40.772173,-73.928757,1,22,83,4005400030,4005400030,Old Astoria                                                                
Auburndale,(718) 352-2027,25-55 Francis Lewis Boulevard,Flushing,11358,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.773525, -73.796552)",QUEENS   ,40.773525,-73.796552,7,19,1017,4057690010,4057690010,Ft. Totten-Bay Terrace-Clearview                                           
Baisley Park,(718) 529-1590,117-11 Sutphin Boulevard,Jamaica,11436,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.680318, -73.79203)",QUEENS   ,40.680318,-73.79203,12,28,288,4122040099,4122040099,Baisley Park                                                               
Bay Terrace,(718) 423-7004,18-36 Bell Boulevard,Bayside,11360,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.783103, -73.777013)",QUEENS   ,40.783103,-73.777013,7,19,99704,4058650082,4058650082,Ft. Totten-Bay Terrace-Clearview                                           
Bayside,(718) 229-1834,214-20 Northern Boulevard,Bayside,11361,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.760363, -73.768588)",QUEENS   ,40.760363,-73.768588,11,19,1471,4073330215,4073330215,Bayside-Bayside Hills                                                      
Bellerose,(718) 831-8644,250-06 Hillside Avenue,Bellerose,11426,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.735403, -73.717266)",QUEENS   ,40.735403,-73.717266,13,23,157101,4086040085,4086040085,Bellerose                                                                  
Briarwood,(718) 658-1680,85-12 Main Street,Briarwood,11435,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.71014, -73.819621)",QUEENS   ,40.71014,-73.819621,8,24,22001,4096510025,4096510025,Briarwood-Jamaica Hills                                                    
Broad Channel,(718) 318-4943,16-26 Cross Bay Boulevard,Broad Channel,11693,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.600838, -73.820374)",QUEENS   ,40.600838,-73.820374,14,32,107201,4154810530,4154810530,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Broadway,(718) 721-2462,40-20 Broadway,Long Island City,11103,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.758859, -73.918772)",QUEENS   ,40.758859,-73.918772,1,26,157,4006760050,4006760050,Astoria                                                                    
Cambria Heights,(718) 528-3535,218-13 Linden Boulevard,Cambria Heights,11411,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.69554, -73.74138)",QUEENS   ,40.69554,-73.74138,13,27,598,4113190001,4113190001,Cambria Heights                                                            
Central Library,(718) 990-0700,89-11 Merrick Boulevard,Jamaica,11432,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.707865, -73.795295)",QUEENS   ,40.707865,-73.795295,12,27,460,4097980006,4097980006,Jamaica                                                                    
